engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11491900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114e1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11531900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11581900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115d1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11621900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11671900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116c1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11711900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11761900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117b1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11359800,2,1,32768,0.5525,0.564
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113a9800,2,1,32768,0.55,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113f9800,2,1,32768,0.549,0.597
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11449800,2,1,32768,0.5535,0.56
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11499800,2,1,32768,0.5505,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114e9800,2,1,32768,0.544,0.593
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11539800,2,1,32768,0.552,0.559
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11589800,2,1,32768,0.551,0.557
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115d9800,2,1,32768,0.5475,0.596
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11629800,2,1,32768,0.551,0.56
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11679800,2,1,32768,0.63,0.705
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116c9800,2,1,32768,0.526,0.551
