engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dcba00,1,1,16384,0.286,0.286
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e6ba00,1,1,16384,0.248,0.248
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c8fa00,1,1,16384,0.296,0.296
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d2fa00,1,1,16384,0.272,0.272
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dcfa00,1,1,16384,0.296,0.296
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e6fa00,1,1,16384,0.287,0.287
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c93a00,1,1,16384,0.275,0.275
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d33a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dd3a00,1,1,16384,0.248,0.248
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e73a00,1,1,16384,0.296,0.296
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c97a00,1,1,16384,0.294,0.294
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d37a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dd7a00,1,1,16384,0.287,0.287
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e77a00,1,1,16384,0.286,0.286
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c0ba00,1,1,16384,0.296,0.296
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13caba00,1,1,16384,0.272,0.272
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d4ba00,1,1,16384,0.297,0.297
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13deba00,1,1,16384,0.287,0.287
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c0fa00,1,1,16384,0.286,0.286
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cafa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d4fa00,1,1,16384,0.291,0.291
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13defa00,1,1,16384,0.251,0.251
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c13a00,1,1,16384,0.291,0.291
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cb3a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d53a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13df3a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c17a00,1,1,16384,0.298,0.298
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cb7a00,1,1,16384,0.23,0.23
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d57a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13df7a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c1ba00,1,1,16384,0.298,0.298
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cbba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d5ba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dfba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c1fa00,1,1,16384,0.295,0.295
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cbfa00,1,1,16384,0.25,0.25
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d5fa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dffa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c23a00,1,1,16384,0.297,0.297
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cc3a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d63a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e03a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c27a00,1,1,16384,0.291,0.291
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cc7a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d67a00,1,1,16384,0.269,0.269
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e07a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c2ba00,1,1,16384,0.286,0.286
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13ccba00,1,1,16384,0.228,0.228
